customerID,Churn,tenure,MonthlyCharges,TotalCharges,log_TotalCharges,gender_Male,StreamingTV_Yes,no_IS,OnlineBackup_Yes,TechSupport_Yes,StreamingMovies_Yes,DeviceProtection_Yes,SeniorCitizen_1,InternetService_DSL,InternetService_Fiber_optic,PhoneService_Yes,MultipleLines_Yes,Contract_Month_to_month,Contract_One_year,Contract_Two_year,Partner_Yes,OnlineSecurity_Yes,Dependents_Yes,PaymentMethod_Bank_transfer_(automatic),PaymentMethod_Credit_card_(automatic),PaymentMethod_Electronic_check,PaymentMethod_Mailed_check,PaperlessBilling_Yes,y
7590-VHVEG,No,1,29.85,29.85,1.474944335465388,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
5575-GNVDE,No,34,56.95,1889.5,3.2763468962530333,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
3668-QPYBK,Yes,2,53.85,108.15,2.0340265237751103,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1
7795-CFOCW,No,45,42.3,1840.75,3.2649948091487393,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
9237-HQITU,Yes,2,70.7,151.65,2.1808424146466825,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1
9305-CDSKC,Yes,8,99.65,820.5,2.914078585389112,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1
1452-KIOVK,No,22,89.1,1949.4,3.2899009617286263,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0
6713-OKOMC,No,10,29.75,301.9,2.479863113023098,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
7892-POOKP,Yes,28,104.8,3046.05,3.483737027872602,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1
6388-TABGU,No,62,56.15,3487.95,3.542570250664275,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0
9763-GRSKD,No,13,49.95,587.45,2.768970908138364,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0
